posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
"SUB GERENTE(A) DE PARTICIPACIÓN, SEGURIDAD CIUDADANA Y TRÁNSITO",MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,764.19",31/03/2025,11/04/2025,099e7166-0838-4754-ae40-3cb47bde00a4,2025-03-31 22:34:55.279335
COORDINADOR DE INNOVACIÓN Y SOPORTE TECNOLÓGICO,UNIDAD DE GESTION EDUCATIVA LOCAL JAEN,CAJAMARCA - SAN JOSE DEL ALTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,614.19",31/03/2025,11/04/2025,a32628a0-5472-425b-b62d-0ada2b197726,2025-03-31 22:34:55.279335
SECRETARIO(A),MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,764.19",31/03/2025,11/04/2025,31e6776a-ec12-40e8-8af4-c1bec9059d37,2025-03-31 22:34:55.279335
SECRETARIO(A),MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,764.19",31/03/2025,11/04/2025,a029f05a-4e1b-4075-85f3-3c5809ab8b16,2025-03-31 22:34:55.279335
JEFE(A) DE LA UNIDAD DE TRÁMITE DOCUMENTARIO,MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,064.19",31/03/2025,11/04/2025,672a4014-f8db-422b-86d2-c94f83858f52,2025-03-31 22:34:55.279335
JEFE(A) DE LA UNIDAD DE SERVICIOS PRODUCTIVOS,MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,064.19",31/03/2025,11/04/2025,67ad6605-8c8e-4cf2-9de1-7af2edc049c1,2025-03-31 22:34:55.279335
"JEFE(A) DE LA UNIDAD DE PARTICIPACIÓN, CULTURA, EDUCACIÓN Y DEPORTE",MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,064.19",31/03/2025,11/04/2025,f474fcbc-06d1-40ad-aebc-8a6ff4d20642,2025-03-31 22:34:55.279335
JEFE(A) DE LA OFICINA DE TESORERÍA,MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,764.19",31/03/2025,11/04/2025,6a72436d-f36b-49df-b0c2-4f17aa58ca7e,2025-03-31 22:34:55.279335
JEFE(A) DE LA OFICINA DE CONTABILIDAD,MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,764.19",31/03/2025,11/04/2025,3f96002c-9505-4026-a69f-ab2c68b668c8,2025-03-31 22:34:55.279335
INGENIERO CIVIL II,MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,264.19",31/03/2025,11/04/2025,be1ed4b9-d87d-492e-a1fe-0f54579f5f35,2025-03-31 22:34:55.279335
GERENTE(A) DE ADMINISTRACIÓN TRIBUTARIA,MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 4,764.19",31/03/2025,11/04/2025,cebe24ba-9b15-42ee-84fa-913b1835b678,2025-03-31 22:34:55.279335
ASISTENTE ADMINISTRATIVO I,MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,964.19",31/03/2025,11/04/2025,fc901500-6f05-437e-be34-6eed9761608a,2025-03-31 22:34:55.279335
OBSTETRA,HOSPITAL SANTA MARIA DE CUTERVO,CAJAMARCA - CUTERVO,276-2,1,"S/. 3,445.00",31/03/2025,11/04/2025,08e2ecca-5f4d-4d0c-b2a4-e0c3adf48340,2025-03-31 22:34:55.279335
PERSONAL DE MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL JAEN,CAJAMARCA - SAN FELIPE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,414.19",31/03/2025,11/04/2025,253b4d06-73c1-4cb6-acee-31c616c32b35,2025-03-31 22:34:55.279335
SUB GERENTE(A) DE ESTUDIOS Y PROYECTOS,MUNICIPALIDAD DISTRITAL CACHACHI,CAJAMARCA - CACHACHI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,764.19",31/03/2025,11/04/2025,e6d201bf-b457-4c66-800a-081f0f7e61d6,2025-03-31 22:34:55.279335
